[Fri Jun 20 16:14:03 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2010.5212374829619x, 2455.699999988079z
[Fri Jun 20 16:14:13 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2012.79833984375x, 2434.09521484375z
[Fri Jun 20 16:14:14 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2012.79833984375x, 2434.09521484375z
[Fri Jun 20 16:15:11 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2009.6808549433376x, 2431.087215393504z
[Fri Jun 20 16:15:27 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2009.1755971588689x, 2416.4406735931834z
[Fri Jun 20 16:15:54 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2041.3211002556634x, 2344.713843147727z
[Fri Jun 20 16:16:15 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2043.8428757904433x, 2344.5135233240153z
[Fri Jun 20 16:16:24 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2042.4669665936513x, 2343.399871643129z
[Fri Jun 20 16:16:38 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2042.6529836427012x, 2343.524202689547z
[Fri Jun 20 16:46:45 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2043.7789353230364x, 2343.4049922607537z
[Fri Jun 20 16:46:50 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2042.2778464233231x, 2342.845904832975z
[Fri Jun 20 16:47:25 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2040.1035776148997x, 2344.6396315335346z
[Fri Jun 20 16:51:35 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2040.347759964578x, 2340.03981105223z
[Fri Jun 20 16:56:27 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2042.1202632030756x, 2343.3973386564776z
[Fri Jun 20 16:59:20 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2040.2508652089368x, 2340.9191265843833z
[Fri Jun 20 17:01:06 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2038.7102561720308x, 2342.557869377991z
[Fri Jun 20 17:02:27 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2049.552772859284x, 2352.7680941936296z
[Fri Jun 20 17:02:50 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2044.9768144977445x, 2343.0176372511137z
[Fri Jun 20 17:03:21 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2038.5962120469508x, 2394.4817701757775z
[Fri Jun 20 17:08:05 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2034.7541929673507x, 2393.2030745609377z
[Fri Jun 20 17:08:15 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2037.39013671875x, 2393.81005859375z
[Fri Jun 20 17:10:08 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2036.2727867166934x, 2392.8731826517796z
[Fri Jun 20 17:10:20 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 2037.3376142173997x, 2393.540866301z
[Fri Jun 20 17:19:32 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2052.0781340931485x, 2367.5724222527656z
[Fri Jun 20 17:19:45 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2054.2220851648717x, 2368.348512206335z
[Fri Jun 20 20:19:56 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 985.8955214609615x, 970.3941715760966z
[Fri Jun 20 20:25:01 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 1004.0598061745486x, 981.7880350187538z
[Fri Jun 20 20:27:16 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 1072.5312473414633x, 1055.731830826349z
[Fri Jun 20 20:54:04 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 1072.104843675079x, 1151.8864052620756z
[Sat Jun 21 23:57:40 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1791.8086807780073x, 2061.3572543802966z
[Sat Jun 21 23:58:53 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1739.7548421496485x, 2057.5779655503416z
[Sun Jun 22 00:01:11 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1504.5810921058674x, 2091.958436194369z
[Sun Jun 22 00:03:43 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1646.439123544825x, 1912.247208775767z
[Sun Jun 22 00:10:08 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1777.8678048147171x, 2078.9753777269093z
[Sun Jun 22 00:12:34 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1741.8286021931444x, 2047.5448722160813z
[Sun Jun 22 00:14:35 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1225.845458984375x, 2413.320068359375z
[Sun Jun 22 00:15:14 UTC 2025] XxFran10xX entered captain seat of §l§eMonoplane at 1193.0528235421498x, 2687.2202481538307z
[Sun Jun 22 00:21:23 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1553.7784494474554x, 2352.3505059641634z
[Sun Jun 22 00:21:45 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1573.6720000010414x, 2309.0664671302734z
[Sun Jun 22 00:25:08 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1533.346339704819x, 2139.889690203672z
[Sun Jun 22 00:26:17 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1530.7164582713945x, 2128.75983646455z
[Sun Jun 22 00:27:45 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1302.8582832130826x, 2126.8026577285223z
[Sun Jun 22 00:28:45 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1289.0872802734375x, 1989.176025390625z
[Sun Jun 22 00:29:12 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1159.7059326171875x, 2058.290771484375z
[Sun Jun 22 00:34:57 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1131.1078472951724x, 1988.7540699730005z
[Sun Jun 22 00:36:14 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1294.1138916015625x, 1960.4146728515625z
[Sun Jun 22 00:37:14 UTC 2025] XxFran10xX entered captain seat of §l§eAnti-Air at 1498.0233278329097x, 1997.2680869926767z
[Sun Jun 22 00:37:44 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1472.5936368766x, 2007.9740705269253z
[Sun Jun 22 00:37:54 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1474.5343996020722x, 2020.3882578686328z
[Sun Jun 22 00:38:04 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1475.5157350720185x, 2032.9887990325687z
[Sun Jun 22 00:39:16 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1478.696380399393x, 2037.380655805117z
[Sun Jun 22 00:40:54 UTC 2025] XxFran10xX entered captain seat of §l§eCloudskimmer at 1471.4638735187832x, 2036.5446928828467z
[Sun Jun 22 00:43:02 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1541.606465461789x, 2062.062500268609z
[Sun Jun 22 00:45:03 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1702.303964077661x, 1973.9585684850674z
[Sun Jun 22 00:48:11 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1704.363910354165x, 1971.443291189231z
[Sun Jun 22 00:50:01 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1930.9322837746238x, 1994.9962492718437z
[Sun Jun 22 00:50:30 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 2021.7575184135285x, 1820.1996479972286z
[Sun Jun 22 00:51:13 UTC 2025] XxFran10xX entered captain seat of §l§eCloudskimmer at 2067.4567827670157x, 1758.3211648083334z
[Sun Jun 22 00:51:30 UTC 2025] XxFran10xX entered captain seat of §l§eCloudskimmer at 2099.52294921875x, 1834.2728271484375z
[Sun Jun 22 00:51:47 UTC 2025] XxFran10xX entered captain seat of §l§eCloudskimmer at 2110.628640352509x, 1772.383711418289z
